ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,방재기사,2022,2,재해분석,41,재해영향평가등의 협의 실무지침상 재해영향평가 등의 협의 관리체계에 관한 사항으로 틀린 것은?,text_only,O,발생 가능한 피해는 강제적인 규제조치를 통해 방지하는 규제적수단이다.,재해피해시 보상금액을 협의할수 있는 협의적 수단이다.,평가를 통해 승인된 계획을 통하여 개발이 완료된 이후 발생할 수 있는 천재지변에 의한 피해에 대해서는 분쟁조정과 피해배상의 부분으 포함하는 구제적 수단이다.,개발에 따른 홍수와 토사 유출량의 증대로 인한 하류지역 피해 및 사면불안정으로 인한 재해요인을 최소화하는 예방적 수단이다.,2,1,Claude Sonnet 4,136,0,0,0.0,2.15,2.15,341,5,346,중간,0.001098,3,False,3,"문제: 재해영향평가등의 협의 실무지침상 재해영향평가 등의 협의 관리체계에 관한 사항으로 틀린 것은?

선택지:
1. 발생 가능한 피해는 강제적인 규제조치를 통해 방지하는 규제적수단이다.
2. 재해피해시 보상금액을 협의할수 있는 협의적 수단이다.
3. 평가를 통해 승인된 계획을 통하여 개발이 완료된 이후 발생할 수 있는 천재지변에 의한 피해에 대해서는 분쟁조정과 피해배상의 부분으 포함하는 구제적 수단이다.
4. 개발에 따른 홍수와 토사 유출량의 증대로 인한 하류지역 피해 및 사면불안정으로 인한 재해요인을 최소화하는 예방적 수단이다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,방재기사,2019,5,재해대책,64,"유출계수 0.1 유역면적 1.0km$^2$ 도달시간 30분일 때 합리식에 의한 첨두홍수량은? (단, 강우강도식 [ I = 3000 / t ] 이며 I는 강우강도, t는 강우지속기간(분)이다.)",text_only,,1.89,2.78,3.83,4.87,2,2,Claude Sonnet 4,136,0,1,0.0,4.24,2.09,174,10,184,중간,0.000672,N/A,False,합리식을 사용하여,"문제: 유출계수 0.1 유역면적 1.0km$^2$ 도달시간 30분일 때 합리식에 의한 첨두홍수량은? (단, 강우강도식 [ I = 3000 / t ] 이며 I는 강우강도, t는 강우지속기간(분)이다.)

선택지:
1. 1.89
2. 2.78
3. 3.83
4. 4.87

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,방재기사,2021,3,방재시설,25,"집중호우시 토사유량 저감을 위해 어떤 소유역에 설치된 침사지로 유입 할 토사의 체적을 산정한 결과 200m$^3$/year 이었다. 준설주기를 년2회로 계획할 경우, 토사저류부의 저류용량(m$^3$)은? (단, 침사지의 토사포착 효율은 80% 이다.)",text_only,,80,120,160,200,1,3,Claude Sonnet 4,136,0,2,0.0,6.06,1.82,200,10,210,중간,0.00075,N/A,False,주어진 조건을 정,"문제: 집중호우시 토사유량 저감을 위해 어떤 소유역에 설치된 침사지로 유입 할 토사의 체적을 산정한 결과 200m$^3$/year 이었다. 준설주기를 년2회로 계획할 경우, 토사저류부의 저류용량(m$^3$)은? (단, 침사지의 토사포착 효율은 80% 이다.)

선택지:
1. 80
2. 120
3. 160
4. 200

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,방재기사,2020,3,방재시설,27,자연재해대책법령상 수방기준을 제정하는 대상시설물에 해당하지않는것?,text_only,O,소하천정비법에 따른 소하천 부속물 중 제방,하천법에 따른 하천시설 중 제방,농어촌정비법에 따른 농업생산기반시설 중 농수산물 유통시설,하수도법에 따른 하수도중 하수관로 및 공공하수처리시설,3,4,Claude Sonnet 4,136,1,2,25.0,8.1,2.04,201,5,206,중간,0.000678,3,True,3,"문제: 자연재해대책법령상 수방기준을 제정하는 대상시설물에 해당하지않는것?

선택지:
1. 소하천정비법에 따른 소하천 부속물 중 제방
2. 하천법에 따른 하천시설 중 제방
3. 농어촌정비법에 따른 농업생산기반시설 중 농수산물 유통시설
4. 하수도법에 따른 하수도중 하수관로 및 공공하수처리시설

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,방재기사,2019,5,방재시설,27,토사재해로 인한 위험요인으로 틀린 것은?,text_only,,산지침식 및 홍수피해,하천시설 피해,하천 통수능 증대,저수지의 저수능 저하,3,5,Claude Sonnet 4,136,2,2,40.0,10.02,1.92,126,5,131,중간,0.000453,3,True,3,"문제: 토사재해로 인한 위험요인으로 틀린 것은?

선택지:
1. 산지침식 및 홍수피해
2. 하천시설 피해
3. 하천 통수능 증대
4. 저수지의 저수능 저하

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,방재기사,2021,2,재해분석,48,"재해복구사업의 분석·평가 시행지침상 다음에서 설명하는 용어로 옳은 것은?\n\n- 홍수 호우 등으로부터 재해를 예방하기 위하여 지역별로 설정 공포한 목표강우량(시우량, 연속강우량)",text_only,O,방재성능목표,재해저감성 평가,재해복구개선평가,재해복구 효율성평가,1,6,Claude Sonnet 4,136,3,2,50.0,12.27,2.25,197,5,202,중간,0.000666,1,True,1,"문제: 재해복구사업의 분석·평가 시행지침상 다음에서 설명하는 용어로 옳은 것은?\n\n- 홍수 호우 등으로부터 재해를 예방하기 위하여 지역별로 설정 공포한 목표강우량(시우량, 연속강우량)

선택지:
1. 방재성능목표
2. 재해저감성 평가
3. 재해복구개선평가
4. 재해복구 효율성평가

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,방재기사,2021,3,재해대책,74,사면 안정성 해석 프로그램이 아닌 것은?,text_only,,SLIDE,SWEDGE,SLOPE/W,XP-SWMM,4,7,Claude Sonnet 4,136,4,2,57.14,14.25,1.98,99,5,104,중간,0.000372,4,True,4,"문제: 사면 안정성 해석 프로그램이 아닌 것은?

선택지:
1. SLIDE
2. SWEDGE
3. SLOPE/W
4. XP-SWMM

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,방재기사,2020,3,재해대책,67,자연재해대책법령상 재해영향평가등의 협의대상 분야에 해당하지 않는것은?,text_only,O,국토·지역 계획 및 도시의 개발,지질 및 생태 개발,에너지 개발,관광단지 개발 및 체육시설 조성,2,8,Claude Sonnet 4,136,5,2,62.5,16.29,2.05,152,5,157,중간,0.000531,2,True,2,"문제: 자연재해대책법령상 재해영향평가등의 협의대상 분야에 해당하지 않는것은?

선택지:
1. 국토·지역 계획 및 도시의 개발
2. 지질 및 생태 개발
3. 에너지 개발
4. 관광단지 개발 및 체육시설 조성

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,방재기사,2019,5,재해분석,60,발생지역에 따른 열대성 저기압의 명칭으로 옳은 것은?,text_only,,사이클론 - 카리브해,윌리윌리 - 북태평양,허리케인 - 북대서양,태풍 - 남태평양,3,9,Claude Sonnet 4,136,6,2,66.67,18.22,1.92,140,5,145,중간,0.000495,3,True,3,"문제: 발생지역에 따른 열대성 저기압의 명칭으로 옳은 것은?

선택지:
1. 사이클론 - 카리브해
2. 윌리윌리 - 북태평양
3. 허리케인 - 북대서양
4. 태풍 - 남태평양

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,방재기사,2022,2,재난관리,16,재난 및 안전관리 기본법령상 재난대비훈련 기본계획 수립주기는?,text_only,O,6개월,1년,2년,3년,2,10,Claude Sonnet 4,136,7,2,70.0,20.19,1.98,108,5,113,중간,0.000399,2,True,2,"문제: 재난 및 안전관리 기본법령상 재난대비훈련 기본계획 수립주기는?

선택지:
1. 6개월
2. 1년
3. 2년
4. 3년

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
